FMID,MarketName,Website,Facebook,Facebook_clean,Twitter,Youtube,OtherMedia,street,city,city_clean,County,State,zip,Season1Date,Season1Datecopy 1,Season1Datecopy 2,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,Credit_clean,WIC,WIC_clean,WICcash,WICcash_clean,SFMNP,SFMNP_clean,SNAP,SNAP_clean,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1016782,175th Street Greenmarket,https://www.grownyc.org/greenmarket/manhattan/175th-street,https://www.facebook.com/ManhattanGreenmarkets/,https://www.facebook.com/ManhattanGreenmarkets/,,,,175th Street between Wadsworth & Broadway,New York ,NEW YORK,New York,New York,10033,06/29/2017 to 11/22/2017,06/29/2017,11/22/2017,Tue: 8:00 AM-6:00 PM;,,,,,,,-73.938049,40.846354,,Y,1,Y,1,Y,1,Y,1,Y,1,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,12/16/2016 12:06:16 PM
1003877,17th Ave Market,http://www.iatp.org/minimarkets,,,,,,1622 6th St NE,Minneapolis,MINNEAPOLIS,Hennepin,Minnesota,55413,June to September,6,9,Wed:3:00 pm - 7:00 pm;,,,,,,,-93.2591,45.0044,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,0,Y,1,Y,1,Y,1,N,0,-,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/28/2011 2:33:54 PM
1016784,17th Street Farmers Market,http://enrichmond.org,https://www.facebook.com/17thStreetFarmersMarket/,https://www.facebook.com/17thStreetFarmersMarket/,,,,100 North 17th St.,Richmond ,RICHMOND,Richmond City,Virginia,23219,06/08/2017 to ,06/08/2017,,Thu: 3:00 PM-6:30 PM;,,,,,,,-77.428364,37.533850,,Y,1,N,0,N,0,N,0,Y,1,-,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,12/29/2016 12:13:04 PM
1010968,18th and Christian Farmers' Market,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,,,,,18th Street and Christian Street,Philadelphia,PHILADELPHIA,Philadelphia,Pennsylvania,19146,06/01/2015 to 11/15/2015,06/01/2015,11/15/2015,Thu: 3:00 PM-7:00 PM;,,,,,,,-75.173431,39.940943,,Y,1,Y,1,N,0,Y,1,Y,1,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 3:33:48 PM
1009994,18th Street Farmer's Market,,https://www.facebook.com/ScottsbluffFarmersMarket,https://www.facebook.com/ScottsbluffFarmersMarket,,,,18th and Broadway,Scottsbluff,SCOTTSBLUFF,Scotts Bluff,Nebraska,69361,06/07/2014 to 09/27/2014,06/07/2014,09/27/2014,Sat: 8:00 AM-11:00 AM;,,,,,,,-103.662538,41.864268,,Y,1,N,0,N,0,N,0,N,0,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,6/29/2016 4:32:46 PM
1018365,18th Street Farmers Market,,18th Street Farmers Market,https://www.facebook.com/18th Street Farmers Market,,,,825 18th Street,Charleston ,CHARLESTON,Coles,Illinois,61920,05/20/2017 to 09/30/2017,05/20/2017,09/30/2017,Sat: 8:00 AM-12:00 PM;,,,,,,,-88.1622392,39.4907144,,Y,1,Y,1,N,0,Y,1,Y,1,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/23/2017 8:02:15 AM
1012790,19/27 Community Farmers Market,,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,,,,NE 7th Ave,Chiefland,CHIEFLAND,Levy,Florida,32626,09/03/2016 to 06/24/2017,09/03/2016,06/24/2017,Sat: 8:30 AM-1:00 PM;,09/02/2017 to 06/30/2018,Sat: 8:30 AM-1:00 PM;,,,,,-82.8578732,29.4848541,,Y,1,N,0,N,0,N,0,N,0,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,8/19/2016 4:07:34 PM
1012158,21 Acres Farm Market,http://21acres.org,https://www.facebook.com/21Acres/,https://www.facebook.com/21Acres/,@21acres,21AcresCenter's channel,Instagram @21acres,13701 NE 171st Street,Woodinville,WOODINVILLE,King,Washington,98072,01/01/2016 to 12/31/2016,01/01/2016,12/31/2016,Wed: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 11:00 AM-6:00 PM;,,,,,,,-122.1569875,47.7502397,,Y,1,N,0,N,0,N,0,Y,1,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,6/30/2016 7:50:56 PM
1010873,21st Street Farmers Market,,,,,,,SW 21st and Oakley,Topeka,TOPEKA,Shawnee,Kansas,66604,06/05/2015 to 10/30/2015,06/05/2015,10/30/2015,Fri: 7:30 AM-12:00 PM;,,,,,,,-95.714514,39.028184,,Y,1,N,0,N,0,Y,1,N,0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,3/2/2015 10:46:33 AM
1005309,22nd and Tasker Farmers' Market,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,,,,,22nd and Tasker Streets,Philadelphia,PHILADELPHIA,Philadelphia,Pennsylvania,19146,06/01/2015 to 11/01/2015,06/01/2015,11/01/2015,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.181286,39.932257,,Y,1,Y,1,N,0,Y,1,Y,1,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 2:29:42 PM
1000709,22nd Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,,71 Waterwitch Avenue,Highlands,HIGHLANDS,Monmouth,New Jersey,07732,06/25/2016 to 11/05/2016,06/25/2016,11/05/2016,Sat: 8:30 AM-2:00 PM;,,,,,,,-73.994358,40.404837,,Y,1,Y,1,Y,1,Y,1,Y,1,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,7/6/2016 2:37:36 PM
1011881,25th Street Market - North Logan at the Library Summer 2016,http://northloganmarket.com,25th Street Market - North Logan at the Library,https://www.facebook.com/25th Street Market - North Logan at the Library,,,Instagram: north logan market  (25th Street Market),475 East 2500 North,North Logan,NORTH LOGAN,Cache,Utah,84341,05/07/2016 to 10/15/2016,05/07/2016,10/15/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,-111.8206049,41.7782437,,Y,1,N,0,N,0,N,0,N,0,-,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,4/18/2016 10:33:41 AM
1010966,26th and Allegheny,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,,,,,,26th Street and W Allegheny Avenue,Philadelphia,PHILADELPHIA,Philadelphia,Pennsylvania,19129,06/01/2015 to 11/15/2015,06/01/2015,11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,,-75.1722883,40.0040946,,Y,1,Y,1,N,0,Y,1,Y,1,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 3:17:20 PM
1005299,29th and Wharton Farmers' Market,http://thefoodtrust.org/farmers-markets/market/29th-wharton,,,,,,29th and Wharton Streets,Philadelphia,PHILADELPHIA,Philadelphia,Pennsylvania,19146,06/01/2015 to 11/15/2015,06/01/2015,11/15/2015,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.19204,39.9373,,Y,1,Y,1,N,0,Y,1,Y,1,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 2:47:10 PM
1010994,2nd Street Farmers' Market,http://secondstageAmherst.org,second stage of AMherst,https://www.facebook.com/second stage of AMherst,,,,194 second street,Amherst,AMHERST,Amherst,Virginia,24521,05/05/2016 to 09/01/2016,05/05/2016,09/01/2016,Thu: 3:30 PM-6:30 PM;,,,,,,,-79.048573,37.583311,,Y,1,N,0,N,0,N,0,N,0,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,Y,3/4/2016 1:51:55 PM
1009959,2nd Street Market - Five Rivers MetroPark,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,https://www.facebook.com/2ndStreetMarket/,,,,600 E. 2nd Street,Dayton,DAYTON,Montgomery,Ohio,45402,01/01/2016 to 12/31/2016,01/01/2016,12/31/2016,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;,,,,,,,-84.181030,39.762593,,Y,1,N,0,Y,1,N,0,Y,1,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,6/30/2016 2:35:22 PM
1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,,123 W. Illinois ave. ,Morris,MORRIS,Grundy,Illinois,60450,05/10/2014 to 10/11/2014,05/10/2014,10/11/2014,Sat: 8:00 AM-2:00 PM;,11/14/2014 to 11/15/2014,Fri: 4:30 PM-10:00 PM;Sat: 9:00 AM-3:00 PM;,,,,,-88.425186,41.356383,Other,Y,1,N,0,N,0,N,0,N,0,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,4/4/2014 11:58:41 PM
1010775,30A Farmers' Market,,https://www.facebook.com/30aFarmersMarket?ref=hl,https://www.facebook.com/30aFarmersMarket?ref=hl,,,,Rosmary Beach Town Center,Rosemary Beach,ROSEMARY BEACH,Walton,Florida,32461,01/18/2015 to 01/05/2020,01/18/2015,01/05/2020,Sun: 9:00 AM-1:00 PM;,,,,,,,-86.002754,30.279017,,Y,1,N,0,N,0,N,0,N,0,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,1/16/2015 6:38:15 PM
1018656,31 & Main Farmers Market at Campus Town,http://www.31mainfarmersmarket.com,https://www.facebook.com/31mainfarmersmarket/,https://www.facebook.com/31mainfarmersmarket/,https://www.twitter.com/31mainfarmmarkt	,,https://www.instagram.com/31mainfarmersmarket ,1928 Pennington Road,Ewing,EWING,Mercer,New Jersey,08618,06/11/2017 to 10/29/2017,06/11/2017,10/29/2017,Sun: 10:00 AM-2:00 PM;,,,,,,,-74.783289,40.268253,,Y,1,Y,1,Y,1,Y,1,N,0,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/12/2017 1:42:22 PM
1005636,32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,,E. 32nd & Barclay Street,Baltimore,BALTIMORE,Baltimore,Maryland,21218,01/01/2013 to 12/31/2013,01/01/2013,12/31/2013,Sat: 7:00 AM-12:00 PM;,,,,,,,-76.611,39.3272,Closed-off public street,Y,1,Y,1,Y,1,Y,1,Y,1,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,3/14/2014 1:23:50 PM
1005310,33rd and Diamond Farmers' Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,,,N 33rd and Diamond Streets,Philadelphia,PHILADELPHIA,Philadelphia,Pennsylvania,19121,06/01/2015 to 11/01/2015,06/01/2015,11/01/2015,Thu: 2:00 PM-6:00 PM;,,,,,,,-75.187167,39.988802,,Y,1,Y,1,N,0,Y,1,Y,1,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 2:28:01 PM
1018389,38th & Meridian Farmer's Market ,,,,,,,3808 N Meridian St,Indianapolis,INDIANAPOLIS,Marion,Indiana,46208,06/01/2017 to 09/21/2017,06/01/2017,09/21/2017,Thu: 4:00 PM-6:30 PM;,,,,,,,-86.1575468,39.8255595,,Y,1,N,0,Y,1,N,0,Y,1,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,6/26/2017 8:19:14 AM
1012280,39 North Marketplace,http://www.39northdowntown.com,39 North ,https://www.facebook.com/39 North ,39North Downtown,,,Downtown Sparks Victorian Ave,Sparks,SPARKS,Washoe,Nevada,89431,06/09/2016 to 08/18/2016,06/09/2016,08/18/2016,Thu: 4:00 PM-9:00 PM;,,,,,,,-119.754962,39.534773,,Y,1,Y,1,Y,1,Y,1,N,0,-,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,7/6/2016 5:19:49 PM
1004414,3rd & Curry St. Farmers Market,http://www.carsonfarmersmarket.com,,,,,,3rd & Curry Street,Carson City,CARSON CITY,Carson City,Nevada,89703,June to September,6,9,Sat:8:30 AM - 1:30 PM;,,,,,,,-119.7678,39.16257,Local government building grounds,N,0,N,0,N,0,Y,1,N,0,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/18/2012 4:12:09 PM
1011213,441 Ministries Farm Stand,,,,,,,441 Parsells Avenue,Rochester,ROCHESTER,Monroe,New York,14609,,null,,Tue: 3:00 PM-7:00 PM;,,,,,,,-77.5666043,43.1658344,,Y,1,Y,1,N,0,N,0,Y,1,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/8/2015 9:22:25 AM
1010965,4th and Lehigh Farmers' Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,,,N 4th Street and W. Lehigh Avenue,Philadelphia,PHILADELPHIA,Philadelphia,Pennsylvania,19133,06/01/2015 to 11/22/2015,06/01/2015,11/22/2015,Tue: 1:00 PM-5:00 PM;,,,,,,,-75.138654,39.991748,,Y,1,Y,1,N,0,Y,1,Y,1,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 3:11:40 PM
1006234,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,,,,,,315 East 4th St.,Larimer,LARIMER,,Colorado,,,null,,,,,,,,,-105.073,40.3954,,N,0,N,0,N,0,N,0,N,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1006494,52 & Shadeland Avenue Farmers Market,,,,,,,5200 N. Shadeland Avenue,Indianapolis,INDIANAPOLIS,,Indiana,46226,,null,,,,,,,,,-86.0476,39.8481,,N,0,N,0,N,0,N,0,N,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1005304,52nd and Haverford Farmers' Market,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,,,,,N 52nd Street and Haverford Avenue,Philadelphia,PHILADELPHIA,Philadelphia,Pennsylvania,19139,06/01/2015 to 11/15/2015,06/01/2015,11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,,-75.224492,39.965054,,Y,1,Y,1,N,0,Y,1,Y,1,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 2:38:14 PM
1000060,57th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,https://www.facebook.com/ManhattanGreenmarkets,,,,W 57 St. & 9 Ave,New York,NEW YORK,New York,New York,10019,04/20/2013 to 12/21/2013,04/20/2013,12/21/2013,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,,,-73.985839,40.768159,Other,Y,1,Y,1,Y,1,Y,1,Y,1,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 11:06:00 AM
1005306,58th and Chester Farmers' Market,http://thefoodtrust.org/farmers-markets/market/58th-chester,,,,,,58th Street and Chester Avenue,Philadelphia,PHILADELPHIA,Philadelphia,Pennsylvania,19143,06/01/2015 to 11/01/2015,06/01/2015,11/01/2015,Wed: 2:00 PM-6:00 PM;,,,,,,,-75.228303,39.935721,,Y,1,Y,1,N,0,Y,1,Y,1,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 2:35:04 PM
1018426,61st Street Farmers Market,http://61market.org,facebook.com/61market,https://www.facebook.com/facebook.com/61market,@61market,,Instagram: @61market,61st Street and Dorchester Ave,Chicago ,CHICAGO,Cook,Illinois,60637,05/13/2017 to 12/16/2017,05/13/2017,12/16/2017,Sat: 9:00 AM-2:00 PM;,,,,,,,-87.5914206,41.7841961,,Y,1,Y,1,N,0,Y,1,Y,1,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,6/27/2017 1:04:53 PM
1012500,6th Street Market in Downtown Tempe,http://arizonacommunityfarmersmarkets.com,www.facebook.com/6thstmarket/,https://www.facebook.com/www.facebook.com/6thstmarket/,,,www.instagram.com/6thstmarket/,6th Street and Mill Avenue,Tempe ,TEMPE,Maricopa,Arizona,85281,10/02/2016 to 05/28/2017,10/02/2016,05/28/2017,Sun: 9:00 AM-1:00 PM;,,,,,,,-111.939512,33.424420,,Y,1,Y,1,Y,1,Y,1,Y,1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,7/12/2016 3:50:15 PM
1000061,79th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,https://www.facebook.com/ManhattanGreenmarkets,,,,Columbus - W 78 & 81 Sts.,New York,NEW YORK,New York,New York,10024,01/01/2013 to 12/31/2013,01/01/2013,12/31/2013,Sun: 8:00 AM-5:00 PM;,,,,,,,-73.9757,40.7818,Other,Y,1,Y,1,Y,1,Y,1,Y,1,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:54:51 AM
1000062,82nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,https://www.facebook.com/ManhattanGreenmarkets,,,,E 82nd St. - 1st & York Ave,New York,NEW YORK,New York,New York,10028,01/01/2013 to 12/31/2013,01/01/2013,12/31/2013,Sat: 9:00 AM-2:30 PM;,,,,,,,-73.950090,40.773749,Other,Y,1,Y,1,Y,1,Y,1,Y,1,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:50:27 AM
1008391,84 west farmers market (Dothan),,,,,,,,Dothan,DOTHAN,Houston,Alabama,,06/06/2013 to 08/08/2013,06/06/2013,08/08/2013,Thu: 3:00 PM-6:00 PM;,,,,,,,-85.449944,31.232252,,Y,1,N,0,N,0,Y,1,N,0,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,3/15/2014 9:29:24 AM
